name,lat,lon,imgurl,other
Menara Masjid Pasar Kramat,-2.533556,112.958771,http://lh3.ggpht.com/-dSd1icgrqGp7Sfa4UYlJ6t_MNdmsj6CDQNn97yX9Nf9NSc5xbYO8ALCCfir5aBu8Nh7KoYw5FGAaJyoAt8OUg,d8a86d66ea6b4cfe916adeba30809b5e.16
Mural Go Green,-2.538863,112.95481,http://lh5.ggpht.com/0yEuPp1gjsZt_A1OXBMCz6fFtgSAAdqj9lpjDPMBNXX3y9wjBm-Q3ZDD9JGLCY84cxaJJkha8wRiYMlTl8oi,414b711848844c2eb3b13fe0c32b7cc7.16
Musholla Al Mihrab,-2.534917,112.95393,http://lh5.ggpht.com/dVodDCx_vtKVVRNuSpZhBoCPaQ9C-vJP7SrpzypfAVFrwShPoml0_hWOZ0k8n8v5fA0y8h7GljpLb4xTL07G,0ea044b5ce5d4d84b67ba7e18260fb01.16
Stasiun Bis,-2.540901,112.953199,http://lh6.ggpht.com/EM-kEY6027f82OJ_XC_98RFBOeY-2Gbyej_gE79PkrdDkP3vaVmJHNwj6fd6D9gfaNtA2fG5VmwMnsmKGMk,352007f49c0b417ba802bc868290d4af.16
Masjid Nyolati Ipit,-2.534599,112.960808,http://lh5.ggpht.com/7fz1ZED6LEUfJwQp3WGQ2Vm0cJNWlqGVaGVEwQnW2lmnx1Qa4nxMRuZJybJfNt6jYOhLSzNZxRjqhqSEg2w,3327f5d47ec24056a92ed622170c3af4.16
Tugu Adipura,-2.538058,112.960546,http://lh3.ggpht.com/xaMHqh_6yjDTGis7lm6EBIJe4BmkxFGs05K_AHcX_WuW_MrHo79K6KmEKWSHLZfgxW2_W9reXEGN3T4G5xYM,a1232c0ade1b45578c796f9ae3f2dc37.16
Paud Mural,-2.532016,112.958255,http://lh5.ggpht.com/C2n_6tWcjzha2X-uQNGV1gJVnQZF97hTaJ3rnWahCVAEOfReF4tekRXZ36nTlEvuCMV943iaZWlovc_TxsE,af78d91475314771923962b4c7d9c820.16
Kapal Rusak,-2.538354,112.958382,http://lh3.ggpht.com/fVMIN10M9D3NWz9PmYP5AfS3Oph402NOZjFh43KVQ19u7_1uJLGSLgdSS-EosKcgR7ehCVlXe2gKcLY9IKmT,a2624b6a22d24f82a6f33801db7d8059.16
Langgar Lainnya,-2.531714,112.957214,http://lh5.ggpht.com/L7TkKFprGLKpS4DNKlL1-LpdtFtllQ-QjW9ME8AbJMEN8yxFZCozjwEzFWEr-Hp7O73FOQ63LJszryhIoEJhlg,f28c3d0450194287b26ba4523a2fa402.16
Mural Stop Global Warming,-2.538665,112.955215,http://lh4.ggpht.com/9OkUu8tGpFP4HJ7BelRT4O9UWlLDM2wO742OUke91mIYc43ehQGo_QuAamXiQbCnpdeKoxtDLzCCcBGMz86f,0a61641aa3554c9db265cf2d234a655b.16
Mosque Sampurna,-2.531424,112.950386,http://lh3.googleusercontent.com/bxl1QkWLSeoEZNgrKU1UqBARHliDCtzmpur7Lm28DBFebve2QpMJGjzmYtIjyO_IAJ84Ikhixj7rx8pSHJ0o,7f2860f15263472a9e8619cf75b30b62.16
Water Fountain Taman Kota,-2.53736,112.9597,http://lh3.googleusercontent.com/fmicAHMwl0V8emk_BVkCCPV0COHDpKkpoOlP6G9ekcFHIXs4N71B15kc5iPLKqam2yzH_O4KH9PzaQwrHWYXVg,2226bd08313643efa1deb4206dc88ff5.16
